,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
150-68-5,1.3082108286352394,0.2476295825576405,1.1968975354427491,5,-1.060581246077599,-0.11131329319249028,-0.9492679528851087,1.212187604403958,0.09602322423128151
151-21-3,0.5350386705311885,0.42632579332928067,0.6860586110314364,41,-0.10871287720190781,0.15101994050024792,-0.2597328177021557,0.5440680443502757,-0.009029373819087194
151-50-8,-0.733956052420391,-1.0678767113967613,-0.6128751840339004,8,-0.33392065897637035,0.12108086838649057,-0.4550015273628609,-0.5486444279798753,-0.18531162444051563
15263-53-3,-1.2446892520334973,-1.133910538598034,-0.8483410227708517,7,0.11077871343546342,0.3963482292626457,-0.28556951582718226,-0.9440971814120526,-0.3005920706214448
153719-23-4,0.5496118588471477,0.6658728855905632,0.9322724628666161,5,0.11626102674341554,0.38266060401946844,-0.2663995772760529,0.9817977155870988,-0.43218585673995114
1563-66-2,-1.1552517087363863,-1.2172365764984414,-0.5074035219783526,33,-0.06198486776205514,0.6478481867580337,-0.7098330545200888,-0.6036978896188112,-0.5515538191175751
1582-09-8,-1.0544101563796096,-0.8538765256174273,-0.96052491146753,22,0.20053363076218222,0.0938852449120795,0.10664838585010272,-1.1968610022946964,0.14245084591508683
15972-60-8,-0.6804742854626483,-0.3095502266781176,-0.2968163193058454,15,0.3709240587845307,0.3836579661568029,-0.012733907372272202,-0.48990158000507794,-0.19057270545757038
1610-18-0,0.5557932762779862,0.36571187014605133,1.18247797462387,7,-0.19008140613193492,0.6266846983458838,-0.8167661044778187,1.0925706039737475,-0.5367773276957613
16752-77-5,-1.7424460888790108,-0.8332592333981301,-1.858943531721353,20,0.9091868554808806,-0.1164974428423422,1.0256842983232228,-1.966692983777106,0.22424689489809535
1836-75-5,-0.5242730737942861,-0.5322746912558881,-0.45199447731074194,12,-0.008001617461601995,0.07227859648354418,-0.08028021394514617,-0.6151934802419932,0.09092040644770705
1897-45-6,-1.4737520699698625,-1.423493232959698,-1.4069750055480232,20,0.050258837010164426,0.06677706442183928,-0.016518227411674857,-1.494850021680094,0.021097951710231433
1910-42-5,-0.743668153961377,-0.39451398691639394,-0.6603345020667831,25,0.34915416704498303,0.08333365189459385,0.2658205151503892,-0.4287813765895466,-0.31488677737183035
1912-24-9,-0.40547423062173005,-0.027645137236757465,-0.8652232354922208,54,0.37782909338497256,-0.45974900487049075,0.8375780982554634,-0.7192878621060633,0.3138136314843333
1918-00-9,1.3877439302399839,1.0836364184328438,1.7656085396211916,5,-0.30410751180714013,0.3778646093812077,-0.6819721211883478,1.7880036954155658,-0.4002597651755819
1929-73-3,0.00576201237575541,-0.22820836558884344,-0.0410213327116104,17,-0.23397037796459885,-0.04678334508736581,-0.18718703287723304,-0.07752801040644502,0.08329002278220043
1929-77-7,0.1091122052010215,0.09970746867085324,0.2925152019257847,8,-0.009404736530168253,0.18340299672476318,-0.19280773325493145,0.3242493315773403,-0.21513712637631882
19398-13-1,-0.20748196234141836,-0.34376626688976714,-0.05894013230026214,9,-0.13628430454834878,0.14854183004115623,-0.284826134589505,-0.26900692096635564,0.06152495862493729
19666-30-9,-0.3944775840986616,-0.5046674861428181,-0.07303863997155952,7,-0.11018990204415646,0.3214389441271021,-0.4316288461712586,-0.2596373105057561,-0.1348402735929055
19937-59-8,1.8464449593280488,1.0780678790217806,1.8981258206961287,6,-0.7683770803062682,0.05168086136807992,-0.8200579416743481,1.806179973983887,0.040264985344161675
