CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper
100-46-9,Benzylamine,0.7004459500205037,0.7679519260933635,0.428599702140993,-0.4931176106189909,1.5795557431290166,-0.17968435181062417,1.4250797828806656
100-47-0,Benzonitrile,0.5243456341456094,0.5178578882399036,0.21044285855198402,0.005098944931426949,1.0805111230562798,0.1341328668506545,0.9708991795999596
100-51-6,Benzyl alcohol,0.3915771593845201,0.36096770672772865,0.41027342871997224,-1.001673173366788,1.595576968346243,-0.3509828957135895,1.2267939265258028
100-52-7,Benzaldehyde,0.07156196157392329,0.08292385519285553,0.1774930327478653,-0.4413411804193381,0.4314301449856271,-0.3283483455369061,0.3471036323182254
100-56-1,Phenylmercuric chloride,-2.094628428785879,-2.084363756617251,0.29940241802481893,-3.0773607999542802,-1.3083545217644377,-2.785242862312557,-1.6396180288349613
100-61-8,N-Methylaniline,0.05869876735584173,0.019212044053797346,0.2646133510982177,-0.5798559772706958,0.7077644698575026,-0.37081428423559215,0.5165708469446546
100-63-0,Phenylhydrazine,0.11064712020756237,0.10909877670095322,0.3851451353340956,-1.0565665722272957,1.0822229202068918,-0.7760130859759802,0.7802587905297196
100-64-1,Cyclohexanone oxime,0.7542252151767974,0.7517475280835454,0.46121695013030867,-0.5675753450553401,2.0949140925624095,-0.3287087662291182,1.557859265728864
100-66-3,Anisole,0.5479581300597686,0.5022558085406842,0.3786831236635819,-0.3735849886839629,1.3505459181181865,-0.20103048285098488,1.2615242645509792
100-68-5,"Benzene, (methylthio)-",0.08085821798664684,0.10865744473091403,0.39922080413070854,-0.8645789857934354,1.1696873274862674,-0.6608994881917989,0.8093418544516672
